date,item,amount
01/07/2025,Item A,150.50
01/07/2025,Item B,200.00
01/07/2025,Item C,175.25
02/07/2025,Item A,100.00
02/07/2025,Item D,300.00
03/07/2025,Item B,175.25
03/07/2025,Item C,250.75
03/07/2025,Item E,120.00
04/07/2025,Item A,300.00
04/07/2025,Item D,500.00
05/07/2025,Item B,225.00
05/07/2025,Item F,180.50
06/07/2025,Item G,99.99
06/07/2025,Item A,130.00
07/07/2025,Item H,250.00
07/07/2025,Item E,150.00
08/07/2025,Item C,100.00
08/07/2025,Item B,190.00
09/07/2025,Item F,210.00
09/07/2025,Item D,330.00
10/07/2025,Item A,400.00
10/07/2025,Item G,140.00
11/07/2025,Item H,300.00
11/07/2025,Item C,275.00
12/07/2025,Item B,230.00
12/07/2025,Item E,125.00
13/07/2025,Item F,160.00
13/07/2025,Item A,180.00
14/07/2025,Item D,310.00
14/07/2025,Item H,260.00
15/07/2025,Item G,220.00
15/07/2025,Item C,195.00
16/07/2025,Item E,300.00
16/07/2025,Item B,175.00
17/07/2025,Item F,150.00
17/07/2025,Item A,210.00
18/07/2025,Item D,400.00
18/07/2025,Item H,310.00
19/07/2025,Item G,180.00
19/07/2025,Item C,230.00
20/07/2025,Item E,275.00
20/07/2025,Item B,195.00
21/07/2025,Item F,205.00
21/07/2025,Item A,190.00
22/07/2025,Item D,350.00
22/07/2025,Item H,280.00
23/07/2025,Item G,215.00
23/07/2025,Item C,225.00
24/07/2025,Item E,310.00
24/07/2025,Item B,205.00
25/07/2025,Item F,195.00
25/07/2025,Item A,230.00
26/07/2025,Item D,420.00
26/07/2025,Item H,290.00
27/07/2025,Item G,240.00
27/07/2025,Item C,210.00
28/07/2025,Item E,320.00
28/07/2025,Item B,220.00
29/07/2025,Item F,200.00
29/07/2025,Item A,250.00
30/07/2025,Item D,430.00
30/07/2025,Item H,300.00
31/07/2025,Item G,260.00
31/07/2025,Item C,235.00
